sampleID,condition
W378653,mTEC-IV
W378654,mTEC-IV
W378656,mTEC-IV
W378659,mTEC-IV
W378660,mTEC-IV
W378663,mTEC-IV
W378664,mTEC-IV
W378668,mTEC-IV
W378669,mTEC-IV
W378670,mTEC-IV
W378675,mTEC-IV
W378677,mTEC-IV
W378678,mTEC-IV
W378679,mTEC-IV
W378681,mTEC-IV
W378683,mTEC-IV
W378685,mTEC-IV
W378690,mTEC-IV
W378695,mTEC-IV
W378696,mTEC-IV
W378699,mTEC-IV
W378700,mTEC-IV
W378701,mTEC-IV
W378703,mTEC-IV
W378704,mTEC-IV
W378705,mTEC-IV
W378708,mTEC-IV
W378709,mTEC-IV
W378711,mTEC-IV
W378712,mTEC-IV
W378713,mTEC-IV
W378718,mTEC-IV
W378719,mTEC-IV
W378721,mTEC-IV
W378723,mTEC-IV
W378725,mTEC-IV
W378726,mTEC-IV
W378729,mTEC-IV
W378730,mTEC-IV
W378731,mTEC-IV
W378733,mTEC-IV
W378734,mTEC-IV
W378735,mTEC-IV
W378739,mTEC-IV
W378740,mTEC-IV
W378741,mTEC-IV
W378745,mTEC-IV
W378746,mTEC-IV
W378747,mTEC-IV
W378749,mTEC-IV
W378750,mTEC-IV
W378751,mTEC-IV
W378756,mTEC-IV
W378758,mTEC-IV
W378760,mTEC-IV
W378764,mTEC-IV
W378765,mTEC-IV
W378769,mTEC-IV
W378770,mTEC-IV
W378772,mTEC-IV
W378773,mTEC-IV
W378777,mTEC-IV
W378779,mTEC-IV
W378784,mTEC-IV
W378785,mTEC-IV
W378787,mTEC-IV
W378788,mTEC-IV
W378789,mTEC-IV
W378791,mTEC-IV
W378792,mTEC-IV
W378793,mTEC-IV
W378794,mTEC-IV
W378795,mTEC-IV
W378796,mTEC-IV
W378797,mTEC-IV
W378801,mTEC-IV
W378802,mTEC-IV
W378803,mTEC-IV
W378806,mTEC-IV
W378807,mTEC-IV
W378808,mTEC-IV
W378809,mTEC-IV
W378815,mTEC-IV
W378817,mTEC-IV
W378819,mTEC-IV
W378823,mTEC-IV
W378824,mTEC-IV
W378825,mTEC-IV
W378827,mTEC-IV
W378828,mTEC-IV
W378830,mTEC-IV
W378831,mTEC-IV
W378450,mTEC-IV
W378453,mTEC-IV
W378454,mTEC-IV
W378458,mTEC-IV
W378459,mTEC-IV
W378460,mTEC-IV
W378461,mTEC-IV
W378463,mTEC-IV
W378464,mTEC-IV
W378467,mTEC-IV
W378469,mTEC-IV
W378471,mTEC-IV
W378475,mTEC-IV
W378477,mTEC-IV
W378478,mTEC-IV
W378482,mTEC-IV
W378484,mTEC-IV
W378487,mTEC-IV
W378489,mTEC-IV
W378490,mTEC-IV
W378491,mTEC-IV
W378495,mTEC-IV
W378498,mTEC-IV
W378499,mTEC-IV
W378503,mTEC-IV
W378504,mTEC-IV
W378505,mTEC-IV
W378506,mTEC-IV
W378507,mTEC-IV
W378510,mTEC-IV
W378511,mTEC-IV
W378514,mTEC-IV
W378516,mTEC-IV
W378520,mTEC-IV
W378521,mTEC-IV
W378523,mTEC-IV
W378526,mTEC-IV
W378527,mTEC-IV
W378528,mTEC-IV
W378530,mTEC-IV
W378531,mTEC-IV
W378532,mTEC-IV
W378536,mTEC-IV
W378537,mTEC-IV
W378540,mTEC-IV
W378541,mTEC-IV
W378544,mTEC-IV
W378547,mTEC-IV
W378548,mTEC-IV
W378550,mTEC-IV
W378555,mTEC-IV
W378559,mTEC-IV
W378560,mTEC-IV
W378563,mTEC-IV
W378564,mTEC-IV
W378565,mTEC-IV
W378566,mTEC-IV
W378571,mTEC-IV
W378574,mTEC-IV
W378575,mTEC-IV
W378577,mTEC-IV
W378578,mTEC-IV
W378579,mTEC-IV
W378580,mTEC-IV
W378582,mTEC-IV
W378583,mTEC-IV
W378584,mTEC-IV
W378586,mTEC-IV
W378587,mTEC-IV
W378589,mTEC-IV
W378590,mTEC-IV
W378591,mTEC-IV
W378593,mTEC-IV
W378599,mTEC-IV
W378601,mTEC-IV
W378602,mTEC-IV
W378603,mTEC-IV
W378604,mTEC-IV
W378606,mTEC-IV
W378608,mTEC-IV
W378609,mTEC-IV
W378612,mTEC-IV
W378613,mTEC-IV
W378617,mTEC-IV
W378618,mTEC-IV
W378620,mTEC-IV
W378621,mTEC-IV
W378622,mTEC-IV
W378623,mTEC-IV
W378624,mTEC-IV
W378625,mTEC-IV
W378626,mTEC-IV
W378627,mTEC-IV
W378628,mTEC-IV
W378629,mTEC-IV
W378630,mTEC-IV
W378632,mTEC-IV
W378633,mTEC-IV
W378635,mTEC-IV
W378636,mTEC-IV
W378637,mTEC-IV
W378638,mTEC-IV
W341013,mTEC-IV
W341018,mTEC-IV
W341019,mTEC-IV
W341023,mTEC-IV
W341028,mTEC-IV
W341029,mTEC-IV
W341035,mTEC-IV
W341038,mTEC-IV
W341041,mTEC-IV
W341045,mTEC-IV
W341052,mTEC-IV
W341055,mTEC-IV
W341057,mTEC-IV
W341059,mTEC-IV
W341064,mTEC-IV
W341073,mTEC-IV
W341078,mTEC-IV
W341083,mTEC-IV
W341093,mTEC-IV
W341094,mTEC-IV
W341097,mTEC-IV
W341102,mTEC-IV
W341106,mTEC-IV
W341111,mTEC-IV
W341113,mTEC-IV
W341120,mTEC-IV
W341126,mTEC-IV
W341127,mTEC-IV
W341129,mTEC-IV
W341132,mTEC-IV
W341134,mTEC-IV
W341147,mTEC-IV
W341149,mTEC-IV
W341159,mTEC-IV
W341162,mTEC-IV
W341163,mTEC-IV
W341164,mTEC-IV
W341165,mTEC-IV
W341169,mTEC-IV
W341171,mTEC-IV
W341173,mTEC-IV
W341174,mTEC-IV
W341180,mTEC-IV
W341188,mTEC-IV
W341189,mTEC-IV
W341192,mTEC-IV
W341193,mTEC-IV
W341196,mTEC-IV
W341199,mTEC-IV
W341200,mTEC-IV
W340817,mTEC-IV
W340818,mTEC-IV
W340821,mTEC-IV
W340823,mTEC-IV
W340834,mTEC-IV
W340837,mTEC-IV
W340839,mTEC-IV
W340841,mTEC-IV
W340849,mTEC-IV
W340850,mTEC-IV
W340854,mTEC-IV
W340855,mTEC-IV
W340860,mTEC-IV
W340866,mTEC-IV
W340872,mTEC-IV
W340873,mTEC-IV
W340876,mTEC-IV
W340894,mTEC-IV
W340896,mTEC-IV
W340898,mTEC-IV
W340903,mTEC-IV
W340904,mTEC-IV
W340906,mTEC-IV
W340908,mTEC-IV
W340915,mTEC-IV
W340916,mTEC-IV
W340917,mTEC-IV
W340918,mTEC-IV
W340932,mTEC-IV
W340933,mTEC-IV
W340940,mTEC-IV
W340944,mTEC-IV
W340948,mTEC-IV
W340950,mTEC-IV
W340952,mTEC-IV
W340954,mTEC-IV
W340955,mTEC-IV
W340957,mTEC-IV
W340962,mTEC-IV
W340971,mTEC-IV
W340972,mTEC-IV
W340974,mTEC-IV
W340981,mTEC-IV
W340982,mTEC-IV
W340988,mTEC-IV
W340992,mTEC-IV
W340995,mTEC-IV
W340996,mTEC-IV
W340999,mTEC-IV
W341002,mTEC-IV
W340626,mTEC-IV
W340631,mTEC-IV
W340633,mTEC-IV
W340635,mTEC-IV
W340636,mTEC-IV
W340646,mTEC-IV
W340653,mTEC-IV
W340654,mTEC-IV
W340657,mTEC-IV
W340658,mTEC-IV
W340660,mTEC-IV
W340664,mTEC-IV
W340669,mTEC-IV
W340670,mTEC-IV
W340672,mTEC-IV
W340677,mTEC-IV
W340681,mTEC-IV
W340684,mTEC-IV
W340685,mTEC-IV
W340689,mTEC-IV
W340692,mTEC-IV
W340698,mTEC-IV
W340703,mTEC-IV
W340705,mTEC-IV
W340707,mTEC-IV
W340709,mTEC-IV
W340716,mTEC-IV
W340718,mTEC-IV
W340738,mTEC-IV
W340740,mTEC-IV
W340745,mTEC-IV
W340751,mTEC-IV
